trip_id,driver_id,city,start_ts,end_ts,fare_sar,distance_km
SYN_T0039,SYN_D003,Jeddah,2026-06-02T18:05:00+03:00,2026-06-02T18:34:00+03:00,28.05,6.30
SYN_T0040,SYN_D004,Jeddah,2026-06-02T20:05:00+03:00,2026-06-02T20:37:00+03:00,29.30,6.65
SYN_T0041,SYN_D005,Dammam,2026-06-02T06:10:00+03:00,2026-06-02T06:23:00+03:00,22.35,4.80
SYN_T0042,SYN_D006, dammam ,2026-06-02T08:10:00+03:00,2026-06-02T08:26:00+03:00,23.60,5.15
SYN_T0043,SYN_D005,Dammam,2026-06-02T10:10:00+03:00,2026-06-02T10:29:00+03:00,24.85,5.50
SYN_T0044,SYN_D006,Dammam,2026-06-02T12:10:00+03:00,2026-06-02T12:32:00+03:00,26.10,5.85
SYN_T0045,SYN_D005,Dammam,2026-06-02T14:10:00+03:00,2026-06-02T14:35:00+03:00,27.35,6.20
SYN_T0046,SYN_D006,Dammam,2026-06-02T16:10:00+03:00,2026-06-02T16:38:00+03:00,28.60,6.55
SYN_T0047,SYN_D005,Dammam,2026-06-02T18:10:00+03:00,2026-06-02T18:41:00+03:00,29.85,6.90
SYN_T0048,SYN_D006,Dammam,2026-06-02T20:10:00+03:00,2026-06-02T20:44:00+03:00,31.10,7.25
SYN_T0049,SYN_D001, riyadh ,2026-06-03T06:00:00+03:00,2026-06-03T06:10:00+03:00,19.50,3.70
SYN_T0050,SYN_D002,Riyadh,2026-06-03T08:00:00+03:00,2026-06-03T08:13:00+03:00,20.75,4.05
SYN_T0051,SYN_D001,Riyadh,2026-06-03T10:00:00+03:00,2026-06-03T10:16:00+03:00,22.00,4.40
SYN_T0052,SYN_D002,Riyadh,2026-06-03T12:00:00+03:00,2026-06-03T12:19:00+03:00,23.25,4.75
SYN_T0053,SYN_D001,Riyadh,2026-06-03T14:00:00+03:00,2026-06-03T14:22:00+03:00,24.50,5.10
SYN_T0054,SYN_D002,Riyadh,2026-06-03T16:00:00+03:00,2026-06-03T16:25:00+03:00,25.75,5.45
SYN_T0055,SYN_D001,Riyadh,2026-06-03T18:00:00+03:00,2026-06-03T18:28:00+03:00,27.00,5.80
SYN_T0056,SYN_D002, riyadh ,2026-06-03T20:00:00+03:00,2026-06-03T20:31:00+03:00,28.25,6.15
SYN_T0057,SYN_D003,Jeddah,2026-06-03T06:05:00+03:00,2026-06-03T06:17:00+03:00,21.30,4.30
SYN_T0058,SYN_D004,Jeddah,2026-06-03T08:05:00+03:00,2026-06-03T08:20:00+03:00,22.55,4.65
SYN_T0059,SYN_D003,Jeddah,2026-06-03T10:05:00+03:00,2026-06-03T10:23:00+03:00,23.80,5.00
SYN_T0060,SYN_D004,Jeddah,2026-06-03T12:05:00+03:00,2026-06-03T12:26:00+03:00,25.05,5.35
SYN_T0061,SYN_D003,Jeddah,2026-06-03T14:05:00+03:00,2026-06-03T14:29:00+03:00,26.30,5.70
SYN_T0062,SYN_D004,Jeddah,2026-06-03T16:05:00+03:00,2026-06-03T16:32:00+03:00,27.55,6.05
SYN_T0063,SYN_D003, jeddah ,2026-06-03T18:05:00+03:00,2026-06-03T18:35:00+03:00,28.80,6.40
SYN_T0064,SYN_D004,Jeddah,2026-06-03T20:05:00+03:00,2026-06-03T20:38:00+03:00,30.05,6.75
SYN_T0065,SYN_D005,Dammam,2026-06-03T06:10:00+03:00,2026-06-03T06:24:00+03:00,23.10,4.90
SYN_T0066,SYN_D006,Dammam,2026-06-03T08:10:00+03:00,2026-06-03T08:27:00+03:00,24.35,5.25
SYN_T0067,SYN_D005,Dammam,2026-06-03T10:10:00+03:00,2026-06-03T10:30:00+03:00,25.60,5.60
SYN_T0068,SYN_D006,Dammam,2026-06-03T12:10:00+03:00,2026-06-03T12:33:00+03:00,26.85,5.95
SYN_T0069,SYN_D005,Dammam,2026-06-03T14:10:00+03:00,2026-06-03T14:36:00+03:00,28.10,6.30
SYN_T0070,SYN_D006, dammam ,2026-06-03T16:10:00+03:00,2026-06-03T16:39:00+03:00,29.35,6.65
SYN_T0071,SYN_D005,Dammam,2026-06-03T18:10:00+03:00,2026-06-03T18:42:00+03:00,30.60,7.00
SYN_T0072,SYN_D006,Dammam,2026-06-03T20:10:00+03:00,2026-06-03T20:45:00+03:00,31.85,7.35
